rate,YEAR,COUNTRY,SEX
26.3278,2014,BLR,BTSX
64.28201,2010,BLR,MLE
36.2375,2011,BLR,BTSX
46.5564,2014,BLR,MLE
39.6666,2018,BLR,MLE
8.73,2014,BLR,FMLE
8.34,2015,BLR,FMLE
9.42,2013,BLR,FMLE
7.68,2019,BLR,FMLE
11.5126,2011,BLR,FMLE
40.5983,2017,BLR,MLE
36.7291,2019,BLR,MLE
23.2719,2017,BLR,BTSX
11.2489,2010,BLR,FMLE
27.8672,2013,BLR,BTSX
42.2968,2016,BLR,MLE
52.9181,2012,BLR,MLE
9.97,2012,BLR,FMLE
24.1926,2016,BLR,BTSX
29.9394,2012,BLR,BTSX
22.7991,2018,BLR,BTSX
49.0918,2013,BLR,MLE
8.19,2017,BLR,FMLE
21.2007,2019,BLR,BTSX
64.702,2011,BLR,MLE
42.7113,2015,BLR,MLE
10.9383,2012,BLZ,MLE
10.1699,2013,BLZ,MLE
10.3339,2016,BLZ,MLE
1.63,2012,BLZ,FMLE
11.9433,2010,BLZ,MLE
1.52,2017,BLZ,FMLE
7.07,2019,BLZ,BTSX
5.85,2013,BLZ,BTSX
5.95,2014,BLZ,BTSX
1.72,2019,BLZ,FMLE
12.5051,2017,BLZ,MLE
1.83,2010,BLZ,FMLE
1.42,2015,BLZ,FMLE
5.97,2015,BLZ,BTSX
5.84,2016,BLZ,BTSX
6.28,2012,BLZ,BTSX
11.5153,2018,BLZ,MLE
11.7402,2011,BLZ,MLE
1.48,2014,BLZ,FMLE
10.4319,2014,BLZ,MLE
12.4645,2019,BLZ,MLE
6.99,2017,BLZ,BTSX
1.37,2016,BLZ,FMLE
6.76,2011,BLZ,BTSX
1.54,2013,BLZ,FMLE
10.5324,2015,BLZ,MLE
6.89,2010,BLZ,BTSX
6.5,2018,BLZ,BTSX
1.77,2011,BLZ,FMLE
1.52,2018,BLZ,FMLE
7.69,2012,BOL,MLE
8.79,2016,BOL,MLE
6.0,2012,BOL,BTSX
4.3,2012,BOL,FMLE
7.72,2013,BOL,MLE
7.76,2011,BOL,MLE
6.04,2010,BOL,BTSX
4.05,2019,BOL,FMLE
4.43,2011,BOL,FMLE
8.41,2018,BOL,MLE
8.36,2019,BOL,MLE
4.46,2016,BOL,FMLE
6.63,2016,BOL,BTSX
4.17,2018,BOL,FMLE
8.53,2017,BOL,MLE
6.44,2017,BOL,BTSX
6.21,2019,BOL,BTSX
7.99,2014,BOL,MLE
8.34,2015,BOL,MLE
4.27,2013,BOL,FMLE
6.01,2013,BOL,BTSX
6.38,2015,BOL,BTSX
4.39,2015,BOL,FMLE
6.11,2011,BOL,BTSX
4.4,2010,BOL,FMLE
4.32,2017,BOL,FMLE
7.66,2010,BOL,MLE
6.18,2014,BOL,BTSX
4.36,2014,BOL,FMLE
6.3,2018,BOL,BTSX
2.62,2013,BRA,FMLE
8.03,2011,BRA,MLE
10.2839,2017,BRA,MLE
8.24,2012,BRA,MLE
2.45,2010,BRA,FMLE
2.69,2016,BRA,FMLE
5.23,2011,BRA,BTSX
5.99,2016,BRA,BTSX
2.53,2014,BRA,FMLE
2.76,2015,BRA,FMLE
2.63,2012,BRA,FMLE
6.58,2017,BRA,BTSX
6.89,2019,BRA,BTSX
4.99,2010,BRA,BTSX
2.5,2011,BRA,FMLE
5.62,2014,BRA,BTSX
8.81,2014,BRA,MLE
10.8844,2019,BRA,MLE
3.03,2019,BRA,FMLE
2.98,2017,BRA,FMLE
5.58,2013,BRA,BTSX
7.59,2010,BRA,MLE
5.87,2015,BRA,BTSX
9.08,2015,BRA,MLE
10.9068,2018,BRA,MLE
5.39,2012,BRA,BTSX
3.14,2018,BRA,FMLE
8.62,2013,BRA,MLE
