SEX,COUNTRY,YEAR,rate
MLE,BGR,2010,19.1777
MLE,BGR,2019,15.3244
FMLE,BGR,2019,4.44
BTSX,BGR,2014,10.4455
MLE,BHR,2010,11.2585
MLE,BHR,2013,9.88
MLE,BHR,2017,11.4434
BTSX,BHR,2018,8.56
BTSX,BHR,2017,8.08
BTSX,BHR,2010,8.18
MLE,BHR,2015,10.4293
FMLE,BHR,2012,2.74
FMLE,BHR,2013,2.63
FMLE,BHR,2019,2.37
MLE,BHR,2011,10.875
BTSX,BHR,2012,7.4
BTSX,BHR,2019,8.86
FMLE,BHR,2010,3.08
MLE,BHR,2014,10.4378
BTSX,BHR,2016,7.66
FMLE,BHR,2018,2.37
BTSX,BHR,2013,7.11
FMLE,BHR,2014,2.59
FMLE,BHR,2017,2.36
MLE,BHR,2016,10.8589
BTSX,BHR,2014,7.42
FMLE,BHR,2015,2.49
FMLE,BHR,2016,2.4
FMLE,BHR,2011,3.04
MLE,BHR,2018,12.099
BTSX,BHR,2015,7.39
MLE,BHR,2019,12.47
BTSX,BHR,2011,7.92
MLE,BHR,2012,10.2599
BTSX,BHS,2013,3.13
FMLE,BHS,2018,1.24
BTSX,BHS,2011,3.69
BTSX,BHS,2017,3.39
FMLE,BHS,2013,1.06
MLE,BHS,2011,6.27
MLE,BHS,2010,6.06
FMLE,BHS,2012,1.17
FMLE,BHS,2016,1.08
MLE,BHS,2014,5.69
BTSX,BHS,2019,3.54
BTSX,BHS,2018,3.54
MLE,BHS,2012,5.98
FMLE,BHS,2019,1.29
FMLE,BHS,2014,1.01
MLE,BHS,2013,5.34
FMLE,BHS,2010,1.26
MLE,BHS,2019,5.92
BTSX,BHS,2014,3.28
MLE,BHS,2016,6.22
MLE,BHS,2017,5.87
BTSX,BHS,2015,3.46
BTSX,BHS,2010,3.59
FMLE,BHS,2017,1.05
MLE,BHS,2015,5.94
BTSX,BHS,2016,3.57
BTSX,BHS,2012,3.5
FMLE,BHS,2011,1.26
FMLE,BHS,2015,1.13
MLE,BHS,2018,5.98
FMLE,BIH,2018,4.47
FMLE,BIH,2012,4.4
BTSX,BIH,2010,10.5378
FMLE,BIH,2010,4.46
MLE,BIH,2010,16.8388
MLE,BIH,2014,16.8992
MLE,BIH,2017,16.8364
FMLE,BIH,2014,4.55
BTSX,BIH,2011,10.638
MLE,BIH,2011,17.1301
MLE,BIH,2016,16.7836
BTSX,BIH,2015,10.7107
BTSX,BIH,2013,10.5996
FMLE,BIH,2011,4.38
MLE,BIH,2018,17.3061
FMLE,BIH,2015,4.62
FMLE,BIH,2017,4.46
BTSX,BIH,2014,10.6074
MLE,BIH,2012,16.6081
BTSX,BIH,2016,10.5086
MLE,BIH,2013,16.9683
BTSX,BIH,2017,10.5259
FMLE,BIH,2019,4.51
BTSX,BIH,2019,10.9285
BTSX,BIH,2012,10.3937
FMLE,BIH,2013,4.47
MLE,BIH,2015,17.0423
FMLE,BIH,2016,4.48
BTSX,BIH,2018,10.7581
MLE,BIH,2019,17.6184
BTSX,BLR,2010,35.9045
BTSX,BLR,2015,24.3313
FMLE,BLR,2016,8.43
FMLE,BLR,2018,8.11
BTSX,BLR,2014,26.3278
MLE,BLR,2010,64.28201
BTSX,BLR,2011,36.2375
MLE,BLR,2014,46.5564
MLE,BLR,2018,39.6666
FMLE,BLR,2014,8.73
FMLE,BLR,2015,8.34
FMLE,BLR,2013,9.42
FMLE,BLR,2019,7.68
FMLE,BLR,2011,11.5126
MLE,BLR,2017,40.5983
MLE,BLR,2019,36.7291
BTSX,BLR,2017,23.2719
FMLE,BLR,2010,11.2489
BTSX,BLR,2013,27.8672
MLE,BLR,2016,42.2968
MLE,BLR,2012,52.9181
FMLE,BLR,2012,9.97
BTSX,BLR,2016,24.1926
BTSX,BLR,2012,29.9394
BTSX,BLR,2018,22.7991
MLE,BLR,2013,49.0918
FMLE,BLR,2017,8.19
BTSX,BLR,2019,21.2007
MLE,BLR,2011,64.702
MLE,BLR,2015,42.7113
MLE,BLZ,2012,10.9383
MLE,BLZ,2013,10.1699
MLE,BLZ,2016,10.3339
FMLE,BLZ,2012,1.63
MLE,BLZ,2010,11.9433
FMLE,BLZ,2017,1.52
BTSX,BLZ,2019,7.07
BTSX,BLZ,2013,5.85
BTSX,BLZ,2014,5.95
FMLE,BLZ,2019,1.72
MLE,BLZ,2017,12.5051
FMLE,BLZ,2010,1.83
FMLE,BLZ,2015,1.42
BTSX,BLZ,2015,5.97
BTSX,BLZ,2016,5.84
BTSX,BLZ,2012,6.28
MLE,BLZ,2018,11.5153
MLE,BLZ,2011,11.7402
FMLE,BLZ,2014,1.48
MLE,BLZ,2014,10.4319
MLE,BLZ,2019,12.4645
BTSX,BLZ,2017,6.99
FMLE,BLZ,2016,1.37
BTSX,BLZ,2011,6.76
FMLE,BLZ,2013,1.54
MLE,BLZ,2015,10.5324
BTSX,BLZ,2010,6.89
BTSX,BLZ,2018,6.5
FMLE,BLZ,2011,1.77
FMLE,BLZ,2018,1.52
MLE,BOL,2012,7.69
MLE,BOL,2016,8.79
BTSX,BOL,2012,6.0
FMLE,BOL,2012,4.3
MLE,BOL,2013,7.72
MLE,BOL,2011,7.76
BTSX,BOL,2010,6.04
FMLE,BOL,2019,4.05
FMLE,BOL,2011,4.43
MLE,BOL,2018,8.41
MLE,BOL,2019,8.36
FMLE,BOL,2016,4.46
BTSX,BOL,2016,6.63
FMLE,BOL,2018,4.17
MLE,BOL,2017,8.53
BTSX,BOL,2017,6.44
BTSX,BOL,2019,6.21
MLE,BOL,2014,7.99
MLE,BOL,2015,8.34
FMLE,BOL,2013,4.27
BTSX,BOL,2013,6.01
BTSX,BOL,2015,6.38
FMLE,BOL,2015,4.39
BTSX,BOL,2011,6.11
FMLE,BOL,2010,4.4
FMLE,BOL,2017,4.32
MLE,BOL,2010,7.66
BTSX,BOL,2014,6.18
FMLE,BOL,2014,4.36
BTSX,BOL,2018,6.3
FMLE,BRA,2013,2.62
MLE,BRA,2011,8.03
MLE,BRA,2017,10.2839
MLE,BRA,2012,8.24
FMLE,BRA,2010,2.45
FMLE,BRA,2016,2.69
BTSX,BRA,2011,5.23
BTSX,BRA,2016,5.99
FMLE,BRA,2014,2.53
FMLE,BRA,2015,2.76
FMLE,BRA,2012,2.63
BTSX,BRA,2017,6.58
BTSX,BRA,2019,6.89
BTSX,BRA,2010,4.99
FMLE,BRA,2011,2.5
BTSX,BRA,2014,5.62
MLE,BRA,2014,8.81
MLE,BRA,2019,10.8844
FMLE,BRA,2019,3.03
FMLE,BRA,2017,2.98
BTSX,BRA,2013,5.58
MLE,BRA,2010,7.59
BTSX,BRA,2015,5.87
MLE,BRA,2015,9.08
MLE,BRA,2018,10.9068
BTSX,BRA,2012,5.39
FMLE,BRA,2018,3.14
MLE,BRA,2013,8.62
BTSX,BRA,2018,6.96
MLE,BRA,2016,9.41
BTSX,BRB,2010,1.62
MLE,BRB,2012,0.496
BTSX,BRB,2011,0.977
MLE,BRB,2010,2.59
FMLE,BRB,2018,0.314
MLE,BRB,2014,0.935
MLE,BRB,2011,1.6
FMLE,BRB,2014,0.3
FMLE,BRB,2013,0.0
FMLE,BRB,2011,0.402
FMLE,BRB,2010,0.726
FMLE,BRB,2012,0.463
FMLE,BRB,2017,0.311
FMLE,BRB,2019,0.319
