"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGSUICIDE","PUBLISHED","2016","AFR","","AGO","MLE","10.0 [6.1-15.3]","9.96000","6.13000","15.33160",""
"SDGSUICIDE","PUBLISHED","2011","AFR","","AGO","BTSX","6.6 [4.1-10.0]","6.58000","4.12000","10.03370",""
"SDGSUICIDE","PUBLISHED","2017","AFR","","AGO","MLE","9.7 [5.9-15.0]","9.67000","5.92000","14.99670",""
"SDGSUICIDE","PUBLISHED","2005","AFR","","AGO","FMLE","3.4 [2.0-5.4]","3.39000","2.00000","5.36000",""
"SDGSUICIDE","PUBLISHED","2009","AFR","","AGO","FMLE","2.7 [1.6-4.3]","2.71000","1.61000","4.31000",""
"SDGSUICIDE","PUBLISHED","2005","AFR","","AGO","MLE","12.8 [8.0-19.5]","12.80510","8.02000","19.47550",""
"SDGSUICIDE","PUBLISHED","2002","AFR","","AGO","FMLE","3.4 [2.0-5.5]","3.40000","1.95000","5.50000",""
"SDGSUICIDE","PUBLISHED","2005","AFR","","AGO","BTSX","8.1 [5.0-12.4]","8.06000","4.99000","12.36280",""
"SDGSUICIDE","PUBLISHED","2018","AFR","","AGO","MLE","9.8 [5.9-15.3]","9.80000","5.92000","15.32990",""
"SDGSUICIDE","PUBLISHED","2006","AFR","","AGO","BTSX","8.6 [5.3-13.1]","8.55000","5.32000","13.10870",""
"SDGSUICIDE","PUBLISHED","2009","AFR","","AGO","MLE","10.8 [6.8-16.3]","10.76000","6.82000","16.30070",""
"SDGSUICIDE","PUBLISHED","2017","AFR","","AGO","FMLE","2.4 [1.4-3.9]","2.43000","1.39000","3.93000",""
"SDGSUICIDE","PUBLISHED","2009","AFR","","AGO","BTSX","6.7 [4.2-10.2]","6.69000","4.19000","10.24140",""
"SDGSUICIDE","PUBLISHED","2001","AFR","","AGO","MLE","14.1 [8.4-22.0]","14.12920","8.35000","21.96680",""
"SDGSUICIDE","PUBLISHED","2003","AFR","","AGO","FMLE","3.6 [2.1-5.8]","3.64000","2.11000","5.80000",""
"SDGSUICIDE","PUBLISHED","2002","AFR","","AGO","BTSX","8.6 [5.2-13.3]","8.55000","5.15000","13.32030",""
"SDGSUICIDE","PUBLISHED","2007","AFR","","AGO","FMLE","3.0 [1.8-4.8]","3.01000","1.78000","4.77000",""
"SDGSUICIDE","PUBLISHED","2014","AFR","","AGO","MLE","10.4 [6.5-15.9]","10.44030","6.54000","15.87700",""
"SDGSUICIDE","PUBLISHED","2000","AFR","","AGO","BTSX","8.7 [5.0-13.7]","8.71000","5.04000","13.70530",""
"SDGSUICIDE","PUBLISHED","2007","AFR","","AGO","BTSX","7.4 [4.6-11.4]","7.39000","4.61000","11.36880",""
"SDGSUICIDE","PUBLISHED","2004","AFR","","AGO","BTSX","8.6 [5.3-13.1]","8.56000","5.26000","13.13620",""
"SDGSUICIDE","PUBLISHED","2012","AFR","","AGO","BTSX","6.9 [4.3-10.6]","6.93000","4.32000","10.59290",""
"SDGSUICIDE","PUBLISHED","2008","AFR","","AGO","BTSX","7.5 [4.7-11.6]","7.54000","4.70000","11.56090",""
"SDGSUICIDE","PUBLISHED","2019","AFR","","AGO","FMLE","2.3 [1.3-3.8]","2.30000","1.30000","3.75000",""
"SDGSUICIDE","PUBLISHED","2010","AFR","","AGO","BTSX","7.0 [4.4-10.6]","6.97000","4.39000","10.63820",""
"SDGSUICIDE","PUBLISHED","2013","AFR","","AGO","FMLE","2.6 [1.6-4.2]","2.63000","1.55000","4.19000",""
"SDGSUICIDE","PUBLISHED","2017","EUR","","ALB","BTSX","4.7 [2.6-7.1]","4.67000","2.59000","7.14000",""
"SDGSUICIDE","PUBLISHED","2018","EUR","","ALB","BTSX","4.5 [2.5-6.9]","4.52000","2.52000","6.92000",""
"SDGSUICIDE","PUBLISHED","2017","EUR","","ALB","MLE","6.3 [3.3-9.9]","6.33000","3.26000","9.86000",""
"SDGSUICIDE","PUBLISHED","2017","EUR","","ALB","FMLE","2.9 [1.9-4.3]","2.94000","1.89000","4.31000",""
"SDGSUICIDE","PUBLISHED","2003","EUR","","ALB","FMLE","3.3 [2.5-4.1]","3.25000","2.47000","4.13000",""
"SDGSUICIDE","PUBLISHED","2012","EUR","","ALB","BTSX","5.2 [2.9-7.5]","5.18000","2.94000","7.48000",""
"SDGSUICIDE","PUBLISHED","2019","EUR","","ALB","MLE","5.9 [3.1-9.3]","5.94000","3.08000","9.28000",""
"SDGSUICIDE","PUBLISHED","2012","EUR","","ALB","FMLE","3.4 [2.3-4.8]","3.42000","2.33000","4.82000",""
"SDGSUICIDE","PUBLISHED","2001","EUR","","ALB","MLE","6.1 [3.9-8.0]","6.06000","3.90000","7.95000",""
"SDGSUICIDE","PUBLISHED","2013","EUR","","ALB","BTSX","5.3 [3.0-7.7]","5.26000","2.96000","7.70000",""
"SDGSUICIDE","PUBLISHED","2001","EUR","","ALB","BTSX","4.5 [3.1-5.9]","4.51000","3.08000","5.85000",""
"SDGSUICIDE","PUBLISHED","2000","EUR","","ALB","FMLE","2.8 [2.2-3.6]","2.83000","2.17000","3.58000",""
"SDGSUICIDE","PUBLISHED","2000","EUR","","ALB","BTSX","4.9 [3.4-6.4]","4.92000","3.42000","6.43000",""
"SDGSUICIDE","PUBLISHED","2002","EUR","","ALB","BTSX","4.6 [3.1-6.0]","4.61000","3.08000","5.99000",""
"SDGSUICIDE","PUBLISHED","2003","EUR","","ALB","BTSX","4.8 [3.2-6.3]","4.81000","3.16000","6.26000",""
"SDGSUICIDE","PUBLISHED","2011","EUR","","ALB","FMLE","8.3 [5.9-11.5]","8.33000","5.85000","11.48540",""
"SDGSUICIDE","PUBLISHED","2015","EUR","","ALB","BTSX","4.8 [2.6-7.2]","4.76000","2.62000","7.16000",""
"SDGSUICIDE","PUBLISHED","2011","EUR","","ALB","MLE","7.5 [3.9-10.7]","7.48000","3.86000","10.74300",""
"SDGSUICIDE","PUBLISHED","2014","EUR","","ALB","MLE","6.6 [3.4-10.0]","6.63000","3.36000","9.96000",""
"SDGSUICIDE","PUBLISHED","2013","EUR","","ALB","MLE","6.9 [3.5-10.3]","6.93000","3.53000","10.29280",""
"SDGSUICIDE","PUBLISHED","2004","EUR","","ALB","FMLE","3.1 [2.4-4.0]","3.11000","2.38000","3.97000",""
"SDGSUICIDE","PUBLISHED","2019","EUR","","ALB","FMLE","2.7 [1.7-3.9]","2.68000","1.74000","3.94000",""
"SDGSUICIDE","PUBLISHED","2009","EUR","","ALB","FMLE","6.0 [4.5-7.9]","6.03000","4.45000","7.94000",""
"SDGSUICIDE","PUBLISHED","2010","EUR","","ALB","BTSX","7.8 [4.7-10.8]","7.83000","4.70000","10.81450",""
"SDGSUICIDE","PUBLISHED","2004","EUR","","ALB","BTSX","4.8 [3.1-6.3]","4.79000","3.07000","6.26000",""
"SDGSUICIDE","PUBLISHED","2005","EUR","","ALB","FMLE","5.2 [4.0-6.6]","5.21000","3.99000","6.64000",""
"SDGSUICIDE","PUBLISHED","2010","EUR","","ALB","FMLE","6.1 [4.4-8.2]","6.12000","4.43000","8.23000",""
"SDGSUICIDE","PUBLISHED","2011","EUR","","ALB","BTSX","7.9 [4.8-11.1]","7.90000","4.84000","11.11070",""
"SDGSUICIDE","PUBLISHED","2014","EUR","","ALB","BTSX","5.0 [2.7-7.4]","4.95000","2.74000","7.35000",""
"SDGSUICIDE","PUBLISHED","2007","EUR","","ALB","BTSX","8.1 [5.0-10.7]","8.07000","4.98000","10.70020",""
"SDGSUICIDE","PUBLISHED","2009","EUR","","ALB","BTSX","8.1 [4.9-11.0]","8.11000","4.88000","10.97030",""
"SDGSUICIDE","PUBLISHED","2006","EUR","","ALB","MLE","9.8 [5.4-13.0]","9.75000","5.42000","12.97460",""
"SDGSUICIDE","PUBLISHED","2002","EUR","","ALB","MLE","6.2 [3.9-8.1]","6.19000","3.86000","8.12000",""
"SDGSUICIDE","PUBLISHED","2006","EUR","","ALB","BTSX","7.8 [4.9-10.2]","7.77000","4.92000","10.18790",""
"SDGSUICIDE","PUBLISHED","2018","EUR","","ALB","FMLE","2.8 [1.8-4.1]","2.80000","1.81000","4.09000",""
"SDGSUICIDE","PUBLISHED","2012","EUR","","ALB","MLE","6.9 [3.5-10.1]","6.88000","3.54000","10.09160",""
"SDGSUICIDE","PUBLISHED","2008","EUR","","ALB","FMLE","6.0 [4.5-7.8]","6.01000","4.51000","7.79000",""
"SDGSUICIDE","PUBLISHED","2016","EUR","","ALB","FMLE","3.1 [2.0-4.5]","3.05000","1.96000","4.45000",""
"SDGSUICIDE","PUBLISHED","2006","EUR","","ALB","FMLE","5.8 [4.4-7.4]","5.78000","4.42000","7.37000",""
"SDGSUICIDE","PUBLISHED","2007","EUR","","ALB","MLE","10.3 [5.6-13.9]","10.31190","5.55000","13.86560",""
"SDGSUICIDE","PUBLISHED","2000","EUR","","ALB","MLE","7.0 [4.6-9.2]","6.96000","4.64000","9.21000",""
"SDGSUICIDE","PUBLISHED","2014","EUR","","ALB","FMLE","3.2 [2.1-4.7]","3.22000","2.11000","4.65000",""
"SDGSUICIDE","PUBLISHED","2013","EUR","","ALB","FMLE","3.5 [2.4-5.0]","3.54000","2.38000","5.03000",""
"SDGSUICIDE","PUBLISHED","2005","EUR","","ALB","BTSX","7.5 [4.8-9.7]","7.47000","4.75000","9.73000",""
"SDGSUICIDE","PUBLISHED","2008","EUR","","ALB","MLE","10.3 [5.5-14.0]","10.33030","5.45000","14.00920",""
"SDGSUICIDE","PUBLISHED","2003","EUR","","ALB","MLE","6.4 [3.8-8.3]","6.35000","3.83000","8.34000",""
"SDGSUICIDE","PUBLISHED","2015","EUR","","ALB","FMLE","3.2 [2.1-4.6]","3.17000","2.05000","4.62000",""
"SDGSUICIDE","PUBLISHED","2007","EUR","","ALB","FMLE","5.8 [4.4-7.5]","5.82000","4.40000","7.51000",""
"SDGSUICIDE","PUBLISHED","2018","EUR","","ALB","MLE","6.2 [3.2-9.6]","6.18000","3.21000","9.64000",""
"SDGSUICIDE","PUBLISHED","2001","EUR","","ALB","FMLE","2.9 [2.2-3.7]","2.92000","2.24000","3.70000",""
"SDGSUICIDE","PUBLISHED","2010","EUR","","ALB","MLE","9.5 [5.0-13.4]","9.52000","4.97000","13.35570",""
"SDGSUICIDE","PUBLISHED","2008","EUR","","ALB","BTSX","8.2 [5.0-10.9]","8.18000","4.98000","10.91700",""
"SDGSUICIDE","PUBLISHED","2015","EUR","","ALB","MLE","6.3 [3.2-9.6]","6.28000","3.16000","9.61000",""
"SDGSUICIDE","PUBLISHED","2019","EUR","","ALB","BTSX","4.3 [2.4-6.7]","4.34000","2.42000","6.66000",""
"SDGSUICIDE","PUBLISHED","2002","EUR","","ALB","FMLE","3.0 [2.3-3.8]","2.99000","2.28000","3.80000",""
"SDGSUICIDE","PUBLISHED","2005","EUR","","ALB","MLE","9.7 [5.5-12.8]","9.69000","5.50000","12.78310",""
"SDGSUICIDE","PUBLISHED","2009","EUR","","ALB","MLE","10.2 [5.3-14.0]","10.16030","5.31000","13.96700",""
"SDGSUICIDE","PUBLISHED","2016","EUR","","ALB","MLE","6.3 [3.2-9.7]","6.27000","3.17000","9.68000",""
"SDGSUICIDE","PUBLISHED","2004","EUR","","ALB","MLE","6.5 [3.8-8.5]","6.45000","3.75000","8.50000",""
"SDGSUICIDE","PUBLISHED","2016","EUR","","ALB","BTSX","4.7 [2.6-7.1]","4.69000","2.58000","7.12000",""
"SDGSUICIDE","PUBLISHED","2016","EMR","","ARE","BTSX","6.0 [3.4-9.5]","5.95000","3.44000","9.53000",""
"SDGSUICIDE","PUBLISHED","2011","EMR","","ARE","BTSX","8.2 [5.1-12.1]","8.15000","5.10000","12.13630",""
"SDGSUICIDE","PUBLISHED","2013","EMR","","ARE","MLE","9.1 [5.5-13.9]","9.13000","5.52000","13.92100",""
"SDGSUICIDE","PUBLISHED","2011","EMR","","ARE","FMLE","3.2 [1.9-5.0]","3.22000","1.93000","5.04000",""
"SDGSUICIDE","PUBLISHED","2005","EMR","","ARE","MLE","9.8 [6.6-13.7]","9.75000","6.58000","13.70220",""
